epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,804.737,0.86278,0.46297,1.07505,0.92407,0.93779,0.95327,0.65144,1.02111,0.48487,1.22738,0.00038375,0.00038375,0.00038375
58,818.533,0.85702,0.46121,1.07417,0.93541,0.92403,0.95645,0.65341,1.03169,0.4678,1.23775,0.000368281,0.000368281,0.000368281
59,832.407,0.85641,0.45564,1.07014,0.90868,0.92599,0.95505,0.65523,1.01508,0.47803,1.22021,0.000352812,0.000352812,0.000352812
60,846.546,0.85067,0.45057,1.06949,0.91758,0.93557,0.95312,0.64726,1.02053,0.46657,1.23696,0.000337344,0.000337344,0.000337344
61,860.43,0.84404,0.44782,1.06035,0.93682,0.92634,0.95608,0.66639,1.01417,0.47012,1.22725,0.000321875,0.000321875,0.000321875
62,874.213,0.84043,0.44489,1.06181,0.93155,0.92965,0.95371,0.63808,1.01148,0.47128,1.22327,0.000306406,0.000306406,0.000306406
63,888.076,0.83936,0.44509,1.05745,0.93596,0.92249,0.95611,0.65474,1.00132,0.46923,1.21369,0.000290937,0.000290937,0.000290937
64,901.913,0.82918,0.4417,1.05929,0.93591,0.9201,0.95548,0.66388,1.02414,0.46779,1.22232,0.000275469,0.000275469,0.000275469
65,915.918,0.82102,0.43623,1.055,0.94037,0.91733,0.9569,0.66266,1.00924,0.46297,1.2237,0.00026,0.00026,0.00026
66,930.085,0.82694,0.43193,1.05214,0.92657,0.9296,0.95527,0.6625,1.01009,0.46152,1.22286,0.000244531,0.000244531,0.000244531
67,944.523,0.82542,0.43503,1.05832,0.92304,0.9341,0.95405,0.66944,0.99963,0.46612,1.22104,0.000229063,0.000229063,0.000229063
68,958.459,0.81287,0.43195,1.0515,0.93213,0.92509,0.95488,0.67148,1.00086,0.46843,1.22155,0.000213594,0.000213594,0.000213594
69,972.4,0.81075,0.42272,1.04097,0.9417,0.92906,0.9576,0.66862,1.00588,0.45548,1.22701,0.000198125,0.000198125,0.000198125
70,986.414,0.79825,0.42047,1.04144,0.93253,0.93348,0.95637,0.6727,1.00743,0.45919,1.22815,0.000182656,0.000182656,0.000182656
71,1001.71,0.82066,0.41107,1.07574,0.92504,0.93412,0.95499,0.65756,1.01783,0.46392,1.23067,0.000167188,0.000167188,0.000167188
72,1015.49,0.77938,0.37928,1.05115,0.92567,0.93455,0.95472,0.65331,1.0104,0.46404,1.23728,0.000151719,0.000151719,0.000151719
73,1029.71,0.76917,0.37191,1.04462,0.92968,0.93684,0.95532,0.65197,0.99282,0.45807,1.2186,0.00013625,0.00013625,0.00013625
74,1043.98,0.76165,0.36711,1.03959,0.93071,0.94248,0.95891,0.65053,0.99027,0.45278,1.22111,0.000120781,0.000120781,0.000120781
75,1058.41,0.74361,0.3583,1.0277,0.94095,0.9399,0.95805,0.66592,0.99124,0.45348,1.22253,0.000105312,0.000105312,0.000105312
76,1072.59,0.74704,0.35847,1.03311,0.94168,0.92829,0.95541,0.66579,0.9816,0.45008,1.21591,8.98437e-05,8.98437e-05,8.98437e-05
77,1086.99,0.73842,0.35337,1.02825,0.93735,0.92854,0.95645,0.66434,0.98601,0.45788,1.22474,7.4375e-05,7.4375e-05,7.4375e-05
78,1100.95,0.72991,0.35084,1.01861,0.93517,0.93068,0.95666,0.66857,0.98918,0.45905,1.22304,5.89062e-05,5.89062e-05,5.89062e-05
79,1115.09,0.7342,0.34976,1.02488,0.93122,0.94245,0.95649,0.66224,0.997,0.45701,1.22961,4.34375e-05,4.34375e-05,4.34375e-05
80,1128.97,0.72339,0.34739,1.01377,0.93365,0.93517,0.95811,0.66589,0.99038,0.45455,1.22803,2.79687e-05,2.79687e-05,2.79687e-05
